"CAINC30 Economic Profile"
"Personal income (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"13780","Binghamton, NY (Metropolitan Statistical Area)",1026593,1096008,1169453,1235754,1332843,1441396,1582300,1693251,1846831,2028177,2224229,2454074,2732896,3013449,3222929,3580021,3788498,3961533,4170309,4420720,4747737,4923618,5086610,5278830,5271085,5307142,5426728,5583950,5785985,5899114,6174221,6548438,6647131,6756438,6794597,7079724,7188525,7639940,8117662,8589127,8732502,8946988,9184468,9459605,9485515,9643906,9876545,9968422,10466036,10678703,11095201
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)",2472030,2696770,2956117,3278494,3685599,4155513,4647467,5167650,5701076,6415085,7158385,7864860,8558555,9029780,9593369,10537454,11380654,12057973,12786006,13844671,15132104,16247484,17052102,18289671,19159865,20480488,21864203,23084934,24353392,26013864,27168155,29065037,29816039,30747023,31944455,34533703,36624610,39197509,40894142,41871427,40129633,41703186,43452289,45684227,45556037,47530078,49933414,50839352,53543159,56272785,58200404
"13900","Bismarck, ND (Metropolitan Statistical Area)",206417,226639,255405,296070,350444,386378,438879,491869,554001,650694,731122,787706,921885,1001669,1069438,1115267,1138997,1183621,1232541,1233106,1343461,1425855,1483279,1625437,1725991,1808782,1898691,2016600,2097496,2261590,2357355,2549914,2738233,2798952,2989008,3171288,3375405,3593534,3895135,4196213,4383919,4776622,5302988,5951371,6244114,6823362,6992098,6927416,6985640,7278884,7511736
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",302940,308501,330774,372444,426571,471225,521040,581487,651281,742546,831810,932171,1027128,1109259,1213826,1354690,1449323,1540515,1643228,1783366,1911978,1988502,2014971,2126781,2210955,2335491,2458325,2539609,2719521,2858604,3036037,3206203,3353078,3457909,3637297,3825327,4035455,4278763,4505172,4650254,4694430,4707296,4945493,5183007,5241762,5526496,5778761,5924430,6132976,6435256,6620300
"14010","Bloomington, IL (Metropolitan Statistical Area)",397983,426195,474637,516881,608697,679627,796858,851569,926750,996868,1118691,1199558,1366984,1466272,1499338,1671567,1747075,1810363,1901031,2032826,2296948,2472632,2540171,2787428,2888092,3126865,3285082,3527705,3723651,3953456,4272750,4542422,4907531,5057574,5238755,5410568,5497638,5952977,6228179,6575955,6586058,6822087,7231627,7365615,7631307,7609034,7969221,8108610,8195140,8488859,8507653
"14020","Bloomington, IN (Metropolitan Statistical Area)",275902,295962,339662,372513,417304,449449,486091,551508,620179,707249,778383,875590,983597,1049632,1124867,1235117,1322254,1432339,1539923,1662395,1831845,1963426,2070731,2233800,2333948,2448178,2579856,2741973,2919063,3113509,3266459,3477518,3539070,3595711,3763259,3982656,4121467,4381013,4551122,4851807,4791757,4913993,5191061,5448213,5455509,5714971,6025741,6320029,6721779,7041016,7346430
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",232638,250744,267673,303979,344214,382390,412614,450624,489756,546098,611134,659398,734265,785807,836923,902402,965954,1015938,1072407,1156290,1262724,1318551,1386457,1474922,1527400,1566890,1618697,1676366,1731032,1808105,1851435,1976470,2053673,2176808,2269869,2348818,2419866,2536837,2714120,2851425,2831591,2978939,3138981,3223207,3288807,3357763,3475877,3575460,3685496,3807656,3918174
"14260","Boise City, ID (Metropolitan Statistical Area)",693016,779735,875459,996230,1146673,1319146,1511201,1703255,1919604,2225440,2448845,2715190,2992865,3202197,3471725,3767611,4037683,4163993,4380898,4809880,5292858,5757151,6186865,6934761,7750940,8604211,9363965,9900474,10425733,11423208,12429761,13897107,14159723,14757498,15268356,16431287,17633546,19848409,20808900,20843553,20137994,20737699,21852159,23264918,24408039,26205717,27890191,29185239,31385382,34014138,35872855
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",17303274,18740176,20020412,21594282,23369418,25216971,26958682,28988024,31575637,34874102,38842908,43921452,49271786,54290274,59199900,67016058,72686413,78488998,85049895,93972761,99301380,102262812,103975559,109710065,114095209,119824758,127433681,135889771,144739232,154901873,166168746,187074333,193144620,191456821,194740022,205195962,215312270,233311504,245689586,254643531,251395544,265132347,278612314,291048881,293535282,310116458,331613402,345262564,363192458,383529173,397139161
"14500","Boulder, CO (Metropolitan Statistical Area) *",538596,600343,680907,768819,864808,979831,1109846,1245164,1434420,1683852,1959091,2217801,2556325,2822610,3095368,3452403,3621559,3793647,4022785,4339346,4740937,5074432,5390167,5960244,6429321,6968605,7546846,8159812,8878042,9768065,10702869,12267341,12705717,11594719,11780716,12093097,12959689,13953505,14611000,15157809,13762807,14889031,15690492,16746365,17540367,18913629,20444932,20997911,22560576,23866572,24962717
