"CAINC30 Economic Profile"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",49697,46819,46502,48518,51301,52570,51584,52797,54971,58079,60025,60742,59482,59192,60531,64176,66227,67178,69528,72202,73017,73301,71029,70976,72196,73606,76033,76685,77680,77742,81341,82109,81027,81473,82185,82917,84239,84962,85719,85816,83111,81285,82747,84061,85064,85953,87449,87641,87764,88949,90266
"14010","Bloomington, IL (Metropolitan Statistical Area)",48802,49339,50699,53021,55892,57470,57543,58560,60239,63110,64509,63288,64442,64190,65014,65763,65433,66812,69500,72765,77151,79934,81260,83752,84448,88268,90575,92403,96023,100753,106179,108052,109029,110523,110088,109225,109996,110931,112603,113546,111824,111398,112002,113158,111461,110664,112393,111459,111876,111568,111472
"14020","Bloomington, IN (Metropolitan Statistical Area)",40006,40115,43719,45422,47027,46825,44564,47509,48817,50475,51520,53462,54013,54716,55528,57620,59678,61907,65078,67474,68835,70276,70628,72264,74141,75988,78167,80732,82095,82583,84309,85477,86472,86455,88861,90050,90907,92092,94409,94475,94200,93020,93309,92926,92762,93841,94441,95317,97120,98930,101124
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",35514,33766,33943,35339,37183,37830,35596,35569,36182,37911,38953,38905,38916,37763,38203,39057,40396,40797,41605,43282,44433,45090,44976,45346,45742,46889,46421,45448,45712,47654,47905,48593,46782,47456,47107,48150,49459,50639,51636,52004,51230,51591,52582,53550,54477,53086,52723,52698,52907,52833,53417
"14260","Boise City, ID (Metropolitan Statistical Area)",88933,93530,97869,103513,110066,114790,119885,128647,136175,146795,150083,148453,146355,145330,148415,154103,156609,158446,163218,172597,181032,190433,198902,207984,220250,236337,245882,255743,266539,279851,287846,304508,311229,313222,317239,328238,346498,367714,379138,373367,353830,350361,356775,361944,372414,383129,395866,411102,427338,448734,465949
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1903177,1906572,1880515,1918584,1976758,1995376,1943843,1961507,2021580,2118025,2213716,2271006,2288684,2304308,2364109,2509018,2591649,2660368,2682717,2758108,2735161,2665144,2541026,2555157,2603207,2655650,2685848,2740663,2813151,2889492,2941149,3027183,3031090,2977857,2947152,2973111,3013744,3051211,3131667,3150417,3081345,3085620,3132923,3190639,3268018,3344569,3490822,3556994,3611368,3673566,3743187
"14500","Boulder, CO (Metropolitan Statistical Area) *",52605,55395,59121,64116,69942,75635,78961,85236,92627,102720,110002,112861,117528,121300,128223,141199,140650,141908,143586,152086,155495,160076,164862,169291,178775,186270,192888,198754,207295,213453,221120,237310,243644,215538,210519,214515,218044,221750,228962,235192,228871,227803,234434,239480,245013,252707,258598,264115,268939,273867,281568
"14540","Bowling Green, KY (Metropolitan Statistical Area)",36230,37297,38393,40228,42648,43625,43179,45371,46883,50148,50732,49865,50960,50359,51861,53904,54825,55198,55910,57594,59974,61201,62846,65051,66995,69464,72461,73893,75666,75648,77333,78805,79048,78927,80185,82086,84829,86880,89670,89166,85556,86256,89444,90993,92293,94218,96195,99602,101409,102878,104102
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",48098,45195,41911,41798,45114,49047,51652,54063,58694,61793,65222,67650,68860,70104,73806,75920,77990,77909,83191,90373,92716,99487,103816,105396,103073,106538,108268,112627,111977,110034,110431,112566,113167,117072,119293,121918,124980,127063,127595,127474,123188,120811,120718,121380,121564,124396,127315,129928,132368,135908,139206
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",366672,366252,358267,364054,379191,383909,374936,385892,403360,425460,442700,455859,470540,474803,476184,495194,509468,519808,525397,537634,532086,521951,503321,501927,512679,508287,518746,528175,537529,551305,563031,577741,576192,574103,575380,583542,591253,600698,617956,621959,608209,605628,621735,628379,639193,646561,657033,663796,658431,663549,666826
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)",47884,48384,50443,54936,59244,62830,64977,67457,69508,74442,77871,81655,84935,85599,83585,83931,85022,83543,85358,88741,93483,98639,101267,104646,109851,115588,117889,121253,124620,127625,132109,139353,142995,148213,150342,154155,156329,162680,167167,169857,170020,171929,178631,181256,185556,187720,188752,191160,192471,196292,199947
"15260","Brunswick, GA (Metropolitan Statistical Area)",26475,27191,28897,29346,29715,29309,27827,29663,31063,32995,33871,34773,34166,33888,34276,35831,37907,38823,39594,41522,42364,42569,42130,42703,44165,45056,47089,48188,48883,50359,50905,52025,52363,52596,52535,54370,56363,58121,59407,59054,55728,53860,53751,54206,54753,55998,57153,58437,59652,61187,61788
"15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",576053,568934,567469,566533,585656,586402,568364,569298,577315,585744,597758,583672,575313,552973,542712,560459,572233,585218,593226,611066,623408,630513,622358,619834,620260,633711,626083,626699,631833,627096,638318,646437,634355,630515,631286,635979,636763,636520,643412,648214,635320,634444,642219,646715,651226,656943,663501,667561,670075,677973,682705
"15500","Burlington, NC (Metropolitan Statistical Area)",51370,51242,51105,52100,53563,52836,49823,49923,49601,50016,53068,52664,53335,52891,53988,56603,57844,59960,62866,66241,67397,68152,66347,67347,68752,69706,71463,73122,74821,78580,80175,81244,77847,76384,75173,75967,76703,77138,80082,78758,74921,74330,76422,77711,77884,78970,79319,81219,82359,84139,86304
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)",60293,62022,62103,62800,64201,64786,64467,67585,70446,76185,80057,82463,85578,87158,89680,94035,98992,103108,107321,113250,117499,117930,115960,117796,120276,123280,125287,128300,130011,133049,136879,142039,144163,143707,144044,147053,147964,149069,151286,151588,149147,150311,153443,156025,157592,159899,162217,163840,164869,165754,167476
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)",18862,19164,19026,19653,19221,20064,18610,18852,19582,20556,20935,21211,22032,22268,23501,24650,25721,27230,29457,32351,34042,35990,36785,36686,35928,36940,38098,40147,44464,47377,48147,49501,47090,49310,51659,52800,53234,54953,56573,56063,56276,57614,58334,58503,59093,59496,60303,60441,61132,62333,64287
