CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Population (Number of persons) 3/ ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
18020,"Columbus, IN (Metropolitan Statistical Area)",71763,72110,71890,72299,72882,73660,74508,75265,76080,76566,76818,77620,79001,79655,80497,81458,82231,82213,82722,83779
18140,"Columbus, OH (Metropolitan Statistical Area)",1682068,1706779,1726352,1749262,1769572,1791126,1816992,1841539,1865647,1887548,1906366,1926338,1947208,1974061,2001635,2027568,2052192,2082581,2104194,2122271
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",381006,380360,383076,384072,388869,392747,396135,397235,399943,403971,404676,407721,413199,419080,423313,427621,428953,428445,428697,429024
18700,"Corvallis, OR (Metropolitan Statistical Area)",78236,78491,80203,80322,80149,80943,81957,83718,84150,85390,85574,86266,86678,86167,87215,88333,89918,91790,92442,93053
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",211955,214955,220192,223227,230024,233437,235216,235032,235315,235687,235932,238704,246952,251881,255801,260814,265492,271499,277666,284809
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",101858,101596,101462,101457,101658,101172,101304,101981,102462,103181,103170,102629,101833,101267,100587,99879,99428,98575,97894,97284
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",5187122,5326971,5432371,5523937,5613420,5722444,5886950,6025041,6152770,6282484,6392065,6510544,6644559,6753889,6889769,7042566,7194758,7337097,7455756,7573136
19140,"Dalton, GA (Metropolitan Statistical Area)",120959,124015,126208,128476,131307,133885,136581,138792,140415,140897,142278,142285,142259,141906,142298,143099,143753,144037,144192,144724
19180,"Danville, IL (Metropolitan Statistical Area)",83821,83646,83299,82996,82955,82728,82715,82258,81930,81710,81640,81414,80862,80585,79783,79170,78494,77689,76702,75758
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",375763,374561,373740,372975,372740,372876,373762,375121,376467,378108,379743,380685,382431,383843,384070,383381,382178,381103,380044,379172
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",805938,804479,804286,804926,805930,804766,803498,801852,800209,798895,799672,800858,801603,801390,801017,800124,801661,803233,805088,807611
19460,"Decatur, AL (Metropolitan Statistical Area)",146095,146552,146464,147386,147324,148399,149519,150690,151890,153269,153950,154075,153908,153146,152888,152392,152233,151981,152144,152603
19500,"Decatur, IL (Metropolitan Statistical Area)",114499,113604,112564,111572,111181,111083,110808,110751,110588,110732,110787,110684,110134,109561,108515,107343,106383,105399,104504,104009
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",495514,505047,516153,529021,546232,563305,579087,589451,590912,589388,590506,591926,594969,600236,608604,621166,635859,647867,658186,668365
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",2170977,2218759,2266781,2284876,2304818,2332749,2374194,2418686,2463971,2509417,2554523,2602918,2650274,2700529,2753973,2812896,2856755,2891776,2931665,2967239
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",520495,527138,533828,541109,548902,559060,570026,580757,590747,599480,608930,618299,626778,637846,649652,659522,671055,681413,690915,699292
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",4455503,4461855,4456433,4453371,4445887,4431048,4409697,4377116,4339504,4311728,4291508,4291696,4300864,4305587,4311194,4309673,4316260,4321593,4322084,4319629
20020,"Dothan, AL (Metropolitan Statistical Area)",131024,131413,131967,133586,135057,136643,139070,141157,142958,144396,145871,146621,147448,147449,147830,147992,147784,147878,148249,149358
20100,"Dover, DE (Metropolitan Statistical Area)",127229,129228,131824,134605,139342,144585,149704,153969,157925,160081,162956,165110,167297,169038,171456,173128,174542,176499,178540,180786
