MSA,city,state_id,lat,lng,MSA
"Lakeland, FL",Lakeland,FL,28.0556,-81.9545,"Lakeland, FL"
"Trenton, NJ",Trenton,NJ,40.2236,-74.7641,"Trenton, NJ"
"Lincoln, NE",Lincoln,NE,40.809,-96.6788,"Lincoln, NE"
"Springfield, MO",Springfield,MO,37.1943,-93.2916,"Springfield, MO"
"Anchorage, AK",Anchorage,AK,61.1508,-149.1091,"Anchorage, AK"
"Plano, TX",Plano,TX,33.0502,-96.7487,"Plano, TX"
"Irvine, CA",Irvine,CA,33.6772,-117.7738,"Irvine, CA"
"Davenport, IA",Davenport,IA,41.5563,-90.6052,"Davenport, IA"
"Rockford, IL",Rockford,IL,42.2597,-89.0641,"Rockford, IL"
"Newark, NJ",Newark,NJ,40.7245,-74.1725,"Newark, NJ"
"South Bend, IN",South Bend,IN,41.6767,-86.2696,"South Bend, IN"
"Shreveport, LA",Shreveport,LA,32.4656,-93.7956,"Shreveport, LA"
"Round Lake Beach, IL",Round Lake Beach,IL,42.379,-88.0811,"Round Lake Beach, IL"
"Savannah, GA",Savannah,GA,32.0281,-81.1784,"Savannah, GA"
"Myrtle Beach, SC",Myrtle Beach,SC,33.7096,-78.8843,"Myrtle Beach, SC"
"Chula Vista, CA",Chula Vista,CA,32.6281,-117.0145,"Chula Vista, CA"
"Eugene, OR",Eugene,OR,44.0563,-123.1173,"Eugene, OR"
"Canton, OH",Canton,OH,40.8075,-81.3677,"Canton, OH"
"Lubbock, TX",Lubbock,TX,33.5659,-101.8878,"Lubbock, TX"
"Reading, PA",Reading,PA,40.34,-75.9267,"Reading, PA"
"Winter Haven, FL",Winter Haven,FL,28.0118,-81.7017,"Winter Haven, FL"
"Salem, OR",Salem,OR,44.9231,-123.0246,"Salem, OR"
"St. Petersburg, FL",St. Petersburg,FL,27.7931,-82.6652,"St. Petersburg, FL"
"Lafayette, LA",Lafayette,LA,30.2084,-92.0323,"Lafayette, LA"
"Laredo, TX",Laredo,TX,27.5629,-99.4875,"Laredo, TX"
"Jersey City, NJ",Jersey City,NJ,40.7161,-74.0682,"Jersey City, NJ"
"Concord, NC",Concord,NC,35.3933,-80.6366,"Concord, NC"
"Columbus, GA",Columbus,GA,32.51,-84.8771,"Columbus, GA"
"Chandler, AZ",Chandler,AZ,33.2826,-111.8516,"Chandler, AZ"
"McKinney, TX",McKinney,TX,33.2015,-96.6669,"McKinney, TX"
"Scottsdale, AZ",Scottsdale,AZ,33.6872,-111.8651,"Scottsdale, AZ"
"Killeen, TX",Killeen,TX,31.0754,-97.7296,"Killeen, TX"
"Tallahassee, FL",Tallahassee,FL,30.4551,-84.2526,"Tallahassee, FL"
"Peoria, IL",Peoria,IL,40.752,-89.6153,"Peoria, IL"
"Wilmington, NC",Wilmington,NC,34.21,-77.8866,"Wilmington, NC"
"Montgomery, AL",Montgomery,AL,32.3473,-86.2666,"Montgomery, AL"
"Gilbert, AZ",Gilbert,AZ,33.3101,-111.7463,"Gilbert, AZ"
"Glendale, AZ",Glendale,AZ,33.5791,-112.2311,"Glendale, AZ"
"North Las Vegas, NV",North Las Vegas,NV,36.288,-115.0901,"North Las Vegas, NV"
"Chesapeake, VA",Chesapeake,VA,36.6778,-76.3024,"Chesapeake, VA"
"Barnstable, MA",Barnstable,MA,41.6722,-70.3599,"Barnstable, MA"
"Norfolk, VA",Norfolk,VA,36.8945,-76.259,"Norfolk, VA"
"Fremont, CA",Fremont,CA,37.5265,-121.9852,"Fremont, CA"
"Kennewick, WA",Kennewick,WA,46.1978,-119.1732,"Kennewick, WA"
"Garland, TX",Garland,TX,32.91,-96.6305,"Garland, TX"
