CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Personal income (Thousands of dollars) ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
17900,"Columbia, SC (Metropolitan Statistical Area)",18057526,18468415,19059761,19774413,20902006,22018694,23868122,25224730,26458883,25984325,26529741,27744970,28937368,29703006,31414723,33415217,34429439,36139195,37355418,39006819
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",7359868,7727141,8033667,8274185,8599476,9009394,9416291,9573355,9800484,9647296,10131715,10942661,11217622,11198267,11499993,12051963,12199027,12547542,13040174,13542897
18020,"Columbus, IN (Metropolitan Statistical Area)",2244428,2160228,2200875,2281335,2396955,2453889,2657576,2743430,2898521,2747361,2893676,3137391,3412769,3380775,3592794,3740935,3797404,3958850,4238170,4402236
18140,"Columbus, OH (Metropolitan Statistical Area)",52183731,53150148,54713147,56673429,59386309,61958225,65533301,69127452,71732319,70800520,73474721,79365320,85002968,86661384,90936488,95862365,98819257,102964961,107553917,111370103
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",8979518,9673371,9964053,10491509,10983336,11798207,12625826,13098342,14451779,13723312,14702307,15944465,16708972,17377659,18206109,18141476,17346555,18209181,18724313,19366168
18700,"Corvallis, OR (Metropolitan Statistical Area)",2301520,2389619,2430572,2567983,2620947,2682076,2816700,2933737,3096559,2973188,3085491,3271409,3319288,3317145,3512790,3699685,3914457,4101636,4351272,4534024
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",5812248,6152270,6610310,7258075,7910718,8547685,9090214,9347885,9370272,9046668,9559627,9921026,10716781,10856216,11526257,12211066,12792419,13699438,14719045,15456503
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",2157738,2527853,2642825,2739201,2834265,2789268,2774614,2839823,3037476,3145321,3278334,3391888,3432618,3471108,3564240,3664143,3739705,3801626,3891961,4007649
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",174789246,182474148,183965379,187412667,194994572,212703311,234904775,248948798,267281062,249116172,262043276,292242374,309930247,318057096,343563993,356850208,370009351,395250806,423961883,444730277
19140,"Dalton, GA (Metropolitan Statistical Area)",2901390,3219554,3314442,3447606,3564050,3558793,3639827,3749677,3743189,3558969,3651564,3785621,3935770,4125797,4439929,4773827,4881924,5021121,5291383,5418976
19180,"Danville, IL (Metropolitan Statistical Area)",1882691,1980483,2015852,2141741,2203697,2200608,2285227,2367454,2516687,2520567,2647762,2787587,2784850,2855701,2851937,2882836,2863146,2937597,3004944,3038613
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",3775281,3921746,4055585,4249849,4744351,5243158,5863953,6222347,6280045,6218741,6618292,7067055,7274734,7448839,7887975,8444952,8956578,9471242,10065966,10600260
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",10455316,10815863,10997503,11377880,12316221,12703537,13423789,14210914,15096108,14721599,15194129,16212766,16602255,16819940,17007198,17324328,17577885,18141237,18667082,19149116
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",23716393,24293765,24595909,25093760,25724633,26205412,27608009,28364988,28938277,28310195,29014505,30783604,31687866,32016227,33290252,34505146,35348835,36911423,38483906,39703066
19460,"Decatur, AL (Metropolitan Statistical Area)",3508565,3605734,3611437,3799099,4023937,4183243,4395922,4593865,4746245,4673150,4818572,4934854,5068995,5150165,5324861,5438588,5489572,5678969,5917497,6149159
19500,"Decatur, IL (Metropolitan Statistical Area)",3191567,3441023,3445226,3403402,3551572,3638308,3841492,4082416,4308521,4300456,4367830,4601890,4588870,4707012,4844861,4793683,4808075,4823759,5037722,5071870
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",11818174,12959058,13611231,14544201,15903574,17277063,18741222,19748062,19993843,18803759,19697921,20343779,21072330,21280911,22545746,23892533,25377335,26970079,28609503,29917225
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",82929639,86252697,86942484,88018916,90911888,97009527,105443981,111442353,114692824,107975014,111542391,123428104,132036059,139847697,153206154,159512262,162232980,175853476,189649107,199503851
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",16537584,17345857,17897890,18487536,20022281,21047571,22640467,23898051,25000070,24506084,25522229,26795384,28653477,29107336,31149990,32905966,34183500,35542100,37229450,38488124
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",154608106,155936966,153996048,156954158,159941935,163362941,165250230,169525355,169735552,159040002,163054960,174592132,182886313,184082752,193982040,205899644,211618011,217795006,227218784,234001030
20020,"Dothan, AL (Metropolitan Statistical Area)",3061404,3324796,3433808,3551525,3816193,4065101,4318859,4581658,4688117,4673898,4924610,5112741,5181319,5241972,5373158,5595294,5707566,5921045,6191069,6443785
20100,"Dover, DE (Metropolitan Statistical Area)",3465258,3491114,3701603,3949828,4291716,4502954,4858465,5108370,5230737,5457977,5515453,5838109,5970367,6132355,6399294,6575805,6833378,7175296,7434085,7791288
20220,"Dubuque, IA (Metropolitan Statistical Area)",2358789,2400479,2458118,2532593,2621209,2723779,2977763,3237610,3376832,3297010,3462798,3699412,3906579,3948700,4146030,4350691,4390384,4525257,4857757,5013959
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",7440799,7585485,7887913,8129272,8444425,8505046,8934077,9459752,10064128,9965046,10573803,11206588,11432368,11462135,11898558,12263469,12235956,12684906,13307077,13759223
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",14301660,14820890,14907137,15378859,17177586,18365485,19954093,21601841,22666029,22289592,23242852,24301260,25613532,25721515,27496715,28969590,30446265,32126449,33613793,35068510
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",3547649,3791848,3990249,4205053,4505777,4779892,5052844,5383427,5580864,5442954,5419411,5680408,5627464,5878132,6133664,6378432,6589053,6801000,7155522,7461802
20740,"Eau Claire, WI (Metropolitan Statistical Area)",3998274,4139285,4270141,4391967,4565012,4749612,5084636,5420222,5652516,5772068,5998210,6332982,6612776,6675634,6995248,7165751,7197451,7557155,8018914,8288411
20940,"El Centro, CA (Metropolitan Statistical Area)",2728047,3013830,3396634,3544125,3660691,3843753,4128385,4377931,4772539,4855435,5146671,5584408,5671528,5893251,6232834,6706452,6575270,6731955,6822928,7329602
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",3293388,3419957,3483672,3635163,3820748,3972256,4176731,4360992,4595957,4789679,5071684,5331576,5433482,5390343,5613460,5741534,5913731,6124409,6351661,6630660
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",5056272,4949576,5125816,5314844,5617977,5892501,6143243,6314818,6151191,5614387,6003170,6421646,6922243,7164192,7765498,8178645,8545400,9258826,9531126,9692815
21300,"Elmira, NY (Metropolitan Statistical Area)",2305066,2320281,2306161,2348816,2427378,2527021,2659045,2776138,2976288,2986284,3129717,3275325,3349249,3365193,3445062,3490161,3486483,3632530,3735959,3874102
21340,"El Paso, TX (Metropolitan Statistical Area)",13060057,13634863,14355497,14912344,15737415,16751349,17785445,18900589,19903847,20893767,22892407,24455648,25653500,25246542,26570109,27422758,28097282,29129580,30533172,31766708
21420,"Enid, OK (Metropolitan Statistical Area)",1396097,1455411,1507998,1599909,1713897,1797543,2006866,2093011,2235026,2165745,2373651,2511915,2714769,2651459,2838631,2785546,2725012,2626515,2667845,2741380
21500,"Erie, PA (Metropolitan Statistical Area)",7127776,7296324,7450672,7555007,7884378,8138952,8586015,9077805,9458879,9354400,9717399,10398013,10711298,10660159,10977709,11327145,11431703,11632868,12229735,12509662
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",8412004,8804327,8880652,9083599,9662483,10326208,11303027,11559356,11870738,11563471,11916860,12352981,12910394,12971081,13872266,14908517,15638663,16667640,17460343,18087217
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",8440048,8791589,8995336,9223663,9552435,9959401,10585043,10707858,11286691,11106626,11818127,12647558,13128069,12696524,13210499,13667426,13802168,14316699,14810042,15406351
21820,"Fairbanks, AK (Metropolitan Statistical Area) *",2462810,2542161,2707031,2876709,3032896,3325347,3646033,3932425,4337094,4310773,4542248,4999795,5111638,4960891,5178518,5355702,5338649,5443462,5689172,5806852
